Year,Month,Data_value
2001,3,2462.5
2002,3,17177.2
2003,3,22530.5
2004,3,28005.1
2005,3,30629.6
2006,3,33317.4
2007,3,36422
2008,3,39198
2009,3,40629.4
2010,3,41815.4
2011,3,43848.6
2012,3,47004.9
2013,3,49188.8
2014,3,52108.2
2015,3,54410.5
2016,3,57389.5
2017,3,60616.6
2018,3,64238.6
2019,3,66777.7
2020,3,68844.3
2021,3,68203.1
2001,3,
2002,3,
2003,3,
2004,3,24641.7
2005,3,26469.8
2006,3,28502
2007,3,31000.7
2008,3,33293.2
2009,3,34258.5
2010,3,35712.7
2011,3,37132.3
2012,3,39561.9
2013,3,40945.5
2014,3,42895.6
2015,3,45331.2
2016,3,48446
2017,3,51519.4
2018,3,54817.6
2019,3,57151.8
2020,3,59701.6
2021,3,60264.6
2001,3,
2002,3,
2003,3,
2004,3,36878.7
2005,3,40756.2
2006,3,44303.8
2007,3,48616.7
2008,3,52669.1
2009,3,54475.5
2010,3,55977.4
2011,3,58624.9
2012,3,62614.7
2013,3,65296.1
2014,3,69247.1
2015,3,72320.3
2016,3,76488.6
2017,3,81334.1
2018,3,87684.4
2019,3,91445.8
2020,3,93968.7
2021,3,89916
2001,3,
2002,3,
2003,3,
2004,3,16307.6
2005,3,18481.2
2006,3,20210.6
2007,3,22272.1
2008,3,23982.4
2009,3,24381.1
2010,3,24135.6
2011,3,24851.6
2012,3,26411.2
2013,3,27504.1
2014,3,29840
2015,3,31607.8
2016,3,34681.6
2017,3,39191.6
2018,3,46065.7
2019,3,50302.3
2020,3,52670.7
2021,3,55518.7
2001,3,
2002,3,
2003,3,
2004,3,20571.1
2005,3,22274.9
2006,3,24093.1
2007,3,26344.6
2008,3,28686.8
2009,3,30094.4
2010,3,31841.8
2011,3,33773.3
2012,3,36203.5
2013,3,37792
2014,3,39407.1
2015,3,40712.5
2016,3,41807
2017,3,42142.5
2018,3,41618.6
2019,3,41143.5
2020,3,41298
2021,3,34397.4
2001,3,
2002,3,
2003,3,
2004,3,9753.9
2005,3,10471.4
2006,3,11360.4
2007,3,12358.4
2008,3,13299.6
2009,3,14203.1
2010,3,15223.4
2011,3,16075.6
2012,3,17325
2013,3,17972.9
2014,3,18492.6
2015,3,19560.4
2016,3,20709.1
2017,3,21756
2018,3,23315.5
2019,3,24215.6
2020,3,25697.5
2021,3,27342
2001,3,
2002,3,
2003,3,
2004,3,8794.3
2005,3,9357.2
2006,3,9983.8
2007,3,10713.8
2008,3,11331.1
2009,3,11199.7
2010,3,11290.6
2011,3,11361.6
2012,3,11752.5
2013,3,12149.1
2014,3,12814.3
2015,3,13329.6
2016,3,14129.8
2017,3,14768.9
2018,3,15575.5
2019,3,16299.5
2020,3,17215.3
2021,3,18124.5
2001,3,
2002,3,
2003,3,
2004,3,3798.7
2005,3,4219.6
2006,3,4572.6
2007,3,5157.3
2008,3,5714.4
2009,3,5898.5
2010,3,6145.8
2011,3,6470
2012,3,7070.6
2013,3,7438.5
2014,3,8135.5
2015,3,8964.9
2016,3,9952.2
2017,3,11184.3
2018,3,12024.1
2019,3,12777.4
2020,3,13018.3
2021,3,11156.2
2001,3,
2002,3,
2003,3,
2004,3,981.4
2005,3,1129.4
2006,3,1269.5
